id,pop,reef,Sample ID
1,mangroves,Low Isles,P.acuta-TO9
2,reef,Low Isles,P.acuta-TE26
3,mangroves,Low Isles,P.acuta-TO3
4,mangroves,Low Isles,P.acuta-TO2
5,mangroves,Low Isles,P.acuta-TO4
6,mangroves,Low Isles,P.acuta-TO5
7,mangroves,Low Isles,P.acuta-TO7
8,mangroves,Low Isles,P.acuta-TO8
9,mangroves,Low Isles,P.acuta-TO10
10,mangroves,Low Isles,P.acuta-TE1
11,mangroves,Low Isles,P.acuta-TE6
12,reef,Low Isles,P.acuta-TO21
13,reef,Low Isles,P.acuta-TO30
14,reef,Low Isles,P.acuta-TO25
15,reef,Low Isles,P.acuta-TO22
16,reef,Low Isles,P.acuta-TO27
17,reef,Low Isles,P.acuta-TO29
18,reef,Low Isles,P.acuta-TO28
